STRG.109515.1.p1	XM_040695128.2	STRG.109515
STRG.109777.1.p13	55-SGA33918.1	STRG.109777
STRG.32712.1.p1	44-MCQ4179290.1	STRG.32712
STRG.19105.1.p1	3-XM_048942587.1	STRG.19105
STRG.6474.1.p2	2-XM_046930914.1	STRG.6474
STRG.84224.1.p2	174-EPP37534.1	STRG.84224
STRG.86159.1.p1	8-SGA23301.1	STRG.86159
STRG.9791.10.p1	MCQ4061879.1	STRG.9791
STRG.109483.1.p1	33-SGA02415.1	STRG.109483
STRG.106841.1.p1	EPP30241.1	STRG.106841
STRG.99713.1.p1	30-SGA02269.1	STRG.99713
STRG.72859.1.p4	7-SFW05319.1	STRG.72859
STRG.91235.2.p1	XM_051153586.1	STRG.91235
STRG.111228.1.p1	85-XM_048947294.1	STRG.111228
STRG.29711.1.p1	56-MCQ4078419.1	STRG.29711
STRG.83572.33.p1	57-MCQ4078419.1	STRG.83572
STRG.11428.1.p1	10-KAK4810673.1	STRG.11428
STRG.49347.1.p1	2-KAK4825805.1	STRG.49347
STRG.40432.1.p1	68-AAA49027.1	STRG.40432
STRG.108862.1.p4	56-SGA33918.1	STRG.108862
STRG.3766.1.p1	5-CAA42505.1	STRG.3766
STRG.78988.1.p1	XM_048930344.1	STRG.78988
STRG.87635.1.p1	3-KAK4811322.1	STRG.87635
STRG.13525.1.p1	33-XM_052705648.1	STRG.13525
STRG.78275.1.p1	54-XM_052665711.1	STRG.78275
STRG.99010.1.p1	KAK4822694.1	STRG.99010
STRG.76264.1.p2	XM_040692423.1	STRG.76264
STRG.98786.1.p3	XM_031612068.1	STRG.98786
STRG.19730.1.p1	3-KAK4811264.1	STRG.19730
STRG.110377.1.p6	49-XM_040695137.1	STRG.110377
STRG.88949.1.p1	17-MCQ4187459.1	STRG.88949
STRG.53486.2.p1	XM_010713331.2	STRG.53486
STRG.42916.42.p1	22-XM_040659592.1	STRG.42916
STRG.14685.1.p1	6-KAK4825806.1	STRG.14685
STRG.105509.1.p1	XM_040543670.1	STRG.105509
STRG.64416.1.p1	4-XM_048947631.1	STRG.64416
STRG.89624.2.p1	2-XM_040695128.2	STRG.89624
STRG.109617.1.p3	57-SGA33918.1	STRG.109617
STRG.96030.2.p1	XM_034071918.1	STRG.96030
STRG.72771.1.p1	8-EPP29463.1	STRG.72771
STRG.90702.1.p1	OWK49460.1	STRG.90702
STRG.84214.1.p2	175-EPP37534.1	STRG.84214
STRG.70153.11.p1	XM_054804364.1	STRG.70153
STRG.1649.1.p3	3-XM_040663268.2	STRG.1649
STRG.6550.1.p1	6-KAK4825802.1	STRG.6550
STRG.111140.1.p3	58-SGA33918.1	STRG.111140
STRG.102493.1.p6	XM_049792624.1	STRG.102493
STRG.94658.1.p1	14-XM_025144565.3	STRG.94658
STRG.87539.1.p1	KAK4826361.1	STRG.87539
STRG.54359.1.p1	55-XM_052665711.1	STRG.54359
STRG.105301.3.p2	XM_040543449.1	STRG.105301
STRG.89526.3.p1	KAK4812332.1	STRG.89526
STRG.104031.1.p1	XM_054804800.1	STRG.104031
STRG.23227.24.p1	31-SGA02269.1	STRG.23227
STRG.65027.1.p1	2-XM_059486557.1	STRG.65027
STRG.88523.6.p1	3-MCQ4078389.1	STRG.88523
STRG.80731.1.p2	WHP37650.1	STRG.80731
STRG.30279.1.p1	34-XM_052705648.1	STRG.30279
STRG.28774.1.p1	58-MCQ4078419.1	STRG.28774
STRG.12740.1.p1	2-PKU43598.1	STRG.12740
STRG.96052.1.p1	XM_040694470.1	STRG.96052
STRG.57932.1.p1	13-KFU97725.1	STRG.57932
STRG.84118.1.p2	176-EPP37534.1	STRG.84118
STRG.49614.6.p4	XM_040681937.1	STRG.49614
STRG.11421.10.p1	86-XM_048947294.1	STRG.11421
STRG.100462.1.p1	NM_205390.1	STRG.100462
STRG.93334.1.p1	2-XM_015301241.3	STRG.93334
STRG.76650.11.p1	XM_032441024.1	STRG.76650
STRG.81332.1.p1	NXW20776.1	STRG.81332
STRG.86071.1.p1	41-SFW04806.1	STRG.86071
STRG.81256.1.p1	XM_048933793.1	STRG.81256
STRG.29701.2.p12	KAJ7416740.1	STRG.29701
STRG.3822.1.p1	XM_040697551.2	STRG.3822
STRG.110347.1.p1	59-SGA33918.1	STRG.110347
STRG.78169.1.p1	3-XM_048931039.1	STRG.78169
STRG.821.10.p1	2-KAK4817094.1	STRG.821
STRG.82646.1.p1	2-XM_058827266.1	STRG.82646
STRG.85450.1.p2	177-EPP37534.1	STRG.85450
STRG.78255.1.p1	15-XM_025144565.3	STRG.78255
STRG.22102.12.p5	KAF1570619.1	STRG.22102
STRG.5495.2.p1	KAK4818826.1	STRG.5495
STRG.4982.1.p1	PKU46731.1	STRG.4982
STRG.35160.1.p1	4-XM_040694160.2	STRG.35160
STRG.53498.1.p2	KAK4812352.1	STRG.53498
STRG.78223.2.p1	8-XM_040655257.2	STRG.78223
STRG.107346.1.p2	39-XM_048959965.1	STRG.107346
STRG.103623.5.p1	KAG5458931.1	STRG.103623
STRG.68188.1.p2	5-XM_019622144.2	STRG.68188
STRG.14665.1.p1	PKU49230.1	STRG.14665
STRG.12654.1.p2	8-MCQ4187465.1	STRG.12654
STRG.43823.1.p2	POI28613.1	STRG.43823
STRG.18697.1.p1	87-XM_048947294.1	STRG.18697
STRG.102387.1.p2	NXQ48261.1	STRG.102387
STRG.88785.1.p1	KAK4810863.1	STRG.88785
STRG.54329.1.p1	56-XM_052665711.1	STRG.54329
STRG.8226.22.p1	XM_040657468.1	STRG.8226
STRG.86129.1.p1	16-XM_025144565.3	STRG.86129
STRG.110972.1.p2	40-XM_048959965.1	STRG.110972
STRG.77296.2.p1	XM_046937589.1	STRG.77296
STRG.104001.1.p1	XM_054052581.1	STRG.104001
STRG.9208.2.p1	XM_052703144.1	STRG.9208
STRG.110896.1.p2	60-SGA33918.1	STRG.110896
STRG.44169.13.p1	69-AAA49027.1	STRG.44169
STRG.40086.1.p1	XM_040670381.2	STRG.40086
STRG.101470.4.p1	EPP37310.1	STRG.101470
STRG.23214.2.p1	6-QKK36238.1	STRG.23214
STRG.85278.1.p1	4-WP_279255902.1	STRG.85278
STRG.49689.121.p1	XM_040679840.2	STRG.49689
STRG.110193.1.p1	30-SGA34061.1	STRG.110193
STRG.103755.2.p1	XM_058860061.1	STRG.103755
STRG.7979.48.p1	35-XM_052705648.1	STRG.7979
STRG.3514.13.p1	11-KAK4810673.1	STRG.3514
STRG.66924.2.p1	XM_040650317.2	STRG.66924
STRG.28109.1.p1	KAK4814101.1	STRG.28109
STRG.6348.1.p1	2-KAF6104406.1	STRG.6348
STRG.23302.1.p1	70-AAA49027.1	STRG.23302
STRG.102980.2.p1	XM_010722473.3	STRG.102980
STRG.70490.1.p2	RMB99531.1	STRG.70490
STRG.25237.1.p1	KAK4816253.1	STRG.25237
STRG.69007.2.p2	XM_059866817.1	STRG.69007
STRG.81226.1.p1	71-AAA49027.1	STRG.81226
STRG.99433.1.p1	32-SGA02269.1	STRG.99433
STRG.102377.1.p2	XM_029055299.2	STRG.102377
STRG.33441.23.p1	PKU41370.1	STRG.33441
STRG.74906.1.p1	10-EPP29996.1	STRG.74906
STRG.105217.2.p1	KAK2511731.1	STRG.105217
STRG.25093.1.p1	36-XM_052705648.1	STRG.25093
STRG.94550.1.p1	XM_040693585.1	STRG.94550
STRG.33746.1.p4	XM_003204306.3	STRG.33746
STRG.71049.3.p3	2-SGA33978.1	STRG.71049
STRG.51447.1.p2	XM_021398478.1	STRG.51447
STRG.40152.1.p1	88-XM_048947294.1	STRG.40152
STRG.87355.1.p3	KAF1452817.1	STRG.87355
STRG.92463.1.p1	XM_005533342.2	STRG.92463
STRG.72633.2.p2	5-SFW04955.1	STRG.72633
STRG.38891.16.p1	15-KFV05530.1	STRG.38891
STRG.110173.1.p1	4-XM_046909449.1	STRG.110173
STRG.111892.93.p1	45-MCQ4179290.1	STRG.111892
STRG.10603.1.p1	25-XM_046923367.1	STRG.10603
STRG.57806.1.p1	59-MCQ4078419.1	STRG.57806
STRG.110327.1.p2	50-XM_040695137.1	STRG.110327
STRG.84637.1.p1	178-EPP37534.1	STRG.84637
STRG.19288.1.p1	5-XM_048930376.1	STRG.19288
STRG.85430.1.p1	179-EPP37534.1	STRG.85430
STRG.21754.1.p1	57-XM_052665711.1	STRG.21754
STRG.44270.1.p1	KAK4832521.1	STRG.44270
STRG.84493.1.p1	180-EPP37534.1	STRG.84493
STRG.55651.1.p1	11-EPP28206.1	STRG.55651
STRG.109337.1.p2	61-SGA33918.1	STRG.109337
STRG.21612.4.p1	9-XM_048930342.1	STRG.21612
STRG.84647.1.p1	181-EPP37534.1	STRG.84647
STRG.102357.1.p1	KAF1626837.1	STRG.102357
STRG.95874.1.p1	3-EPP34925.1	STRG.95874
STRG.78883.37.p1	42-SFW04806.1	STRG.78883
STRG.2306.1.p5	4-XM_048942587.1	STRG.2306
STRG.91053.1.p2	XM_050317941.1	STRG.91053
STRG.59038.1.p1	XM_052685922.1	STRG.59038
STRG.25644.4.p1	9-XM_040655257.2	STRG.25644
STRG.111497.1.p1	31-SGA34061.1	STRG.111497
STRG.19586.11.p1	3-KFR17737.1	STRG.19586
STRG.84020.1.p1	17-XM_025144565.3	STRG.84020
STRG.29080.14.p7	2-PKU45778.1	STRG.29080
STRG.79481.1.p1	2-XM_048929620.1	STRG.79481
STRG.97412.1.p1	3-XM_040654337.2	STRG.97412
STRG.25313.1.p1	2-KAK4807004.1	STRG.25313
STRG.104346.2.p2	3-XM_040674744.1	STRG.104346
STRG.54041.56.p1	89-XM_048947294.1	STRG.54041
STRG.1379.1.p1	KAK4806151.1	STRG.1379
STRG.108802.1.p1	7-XM_040650950.1	STRG.108802
STRG.92367.1.p2	XM_021383316.1	STRG.92367
STRG.13149.1.p1	2-KAK4822675.1	STRG.13149
STRG.5487.1.p1	KAK4811222.1	STRG.5487
STRG.78928.1.p1	13-AAC60281.1	STRG.78928
STRG.64829.1.p1	POI21642.1	STRG.64829
STRG.78698.1.p1	33-SGA02269.1	STRG.78698
STRG.85410.1.p2	182-EPP37534.1	STRG.85410
STRG.85180.1.p1	183-EPP37534.1	STRG.85180
STRG.25353.17.p1	90-XM_048947294.1	STRG.25353
STRG.108496.1.p1	34-SGA02415.1	STRG.108496
STRG.87718.12.p1	XM_040656154.1	STRG.87718
STRG.48995.1.p4	NXN27044.1	STRG.48995
STRG.91746.1.p2	XM_015850951.1	STRG.91746
STRG.84397.1.p2	184-EPP37534.1	STRG.84397
STRG.87688.3.p1	XM_019610642.1	STRG.87688
STRG.59817.1.p1	34-SGA02269.1	STRG.59817
STRG.2142.1.p1	23-XM_040659592.1	STRG.2142
STRG.32326.1.p4	XM_030498995.1	STRG.32326
STRG.106073.44.p1	KAG8147863.1	STRG.106073
STRG.14711.1.p1	2-EPP37913.1	STRG.14711
STRG.5205.6.p1	3-XM_048953353.1	STRG.5205
STRG.97162.1.p1	5-EPP36829.1	STRG.97162
STRG.92347.1.p1	2-XM_031610520.1	STRG.92347
STRG.84010.1.p1	2-XM_014942942.1	STRG.84010
STRG.58253.1.p1	91-XM_048947294.1	STRG.58253
STRG.39581.3.p3	KAK4828118.1	STRG.39581
STRG.46964.1.p1	XM_021401400.1	STRG.46964
STRG.89991.1.p1	31-SFW04942.1	STRG.89991
STRG.85170.1.p1	185-EPP37534.1	STRG.85170
STRG.85400.1.p3	186-EPP37534.1	STRG.85400
STRG.13071.1.p1	4-KAK4811264.1	STRG.13071
STRG.66916.1.p1	4-XM_046902431.1	STRG.66916
STRG.85094.1.p3	187-EPP37534.1	STRG.85094
STRG.10353.1.p1	72-AAA49027.1	STRG.10353
STRG.12518.1.p1	12-KAK4810673.1	STRG.12518
STRG.97779.1.p1	KAF1635281.1	STRG.97779
STRG.109876.1.p2	41-XM_048959965.1	STRG.109876
STRG.112174.1.p2	42-XM_048959965.1	STRG.112174
STRG.97483.4.p1	3-XM_040694520.2	STRG.97483
STRG.92982.1.p1	5-SGA02777.1	STRG.92982
STRG.90172.1.p1	2-EPJ32512.1	STRG.90172
STRG.4153.1.p1	9-XM_048932098.1	STRG.4153
STRG.102423.1.p1	XM_015850685.2	STRG.102423
STRG.15699.1.p1	XM_039380151.1	STRG.15699
STRG.102193.1.p1	XM_010309407.1	STRG.102193
STRG.10550.60.p1	32-SFW04942.1	STRG.10550
STRG.85304.1.p1	188-EPP37534.1	STRG.85304
STRG.92193.1.p1	NXL68655.1	STRG.92193
STRG.20094.1.p1	92-XM_048947294.1	STRG.20094
STRG.85074.1.p2	189-EPP37534.1	STRG.85074
STRG.101190.4.p1	XM_040656817.2	STRG.101190
STRG.10223.3.p1	37-XM_052705648.1	STRG.10223
STRG.94520.1.p1	XM_040654697.1	STRG.94520
STRG.57898.1.p15	POI34877.1	STRG.57898
STRG.58188.11.p1	SGA32466.1	STRG.58188
STRG.108552.1.p2	43-XM_048959965.1	STRG.108552
STRG.24356.1.p1	7-MCQ4021223.1	STRG.24356
STRG.3983.2.p1	10-KAK4831702.1	STRG.3983
STRG.13215.1.p1	73-AAA49027.1	STRG.13215
STRG.91572.1.p1	8-SGA02300.1	STRG.91572
STRG.86618.1.p1	XM_048968053.1	STRG.86618
STRG.89422.1.p1	KAK4825193.1	STRG.89422
STRG.13958.25.p1	2-XM_052670973.1	STRG.13958
STRG.28550.1.p1	3-XM_046939479.1	STRG.28550
STRG.105344.5.p1	XM_040695316.1	STRG.105344
STRG.70102.6.p1	AJ574909.1	STRG.70102
STRG.71071.1.p1	33-SFW04942.1	STRG.71071
STRG.93593.1.p3	6-SGA02777.1	STRG.93593
STRG.111984.2.p1	3-XM_046934365.1	STRG.111984
STRG.45468.1.p3	XM_010710793.3	STRG.45468
STRG.234.10.p1	XM_040654409.1	STRG.234
STRG.97142.1.p1	6-SFW04955.1	STRG.97142
STRG.104270.1.p4	EPJ33504.1	STRG.104270
STRG.51814.4.p1	KAK4832449.1	STRG.51814
STRG.34097.1.p1	3-NXF28431.1	STRG.34097
STRG.53977.1.p1	KAK4820559.1	STRG.53977
STRG.110836.1.p1	5-XM_040695115.1	STRG.110836
STRG.29636.10.p2	XM_021391492.1	STRG.29636
STRG.92413.1.p1	XM_055697823.1	STRG.92413
STRG.87229.1.p1	2-KAK4827580.1	STRG.87229
STRG.103803.1.p1	XM_035313865.1	STRG.103803
STRG.87161.1.p1	2-KAK4825574.1	STRG.87161
STRG.80181.1.p1	3-XM_051613262.1	STRG.80181
STRG.28454.1.p1	14-XM_040695796.2	STRG.28454
STRG.9719.1.p2	KAK4830304.1	STRG.9719
STRG.84443.1.p1	190-EPP37534.1	STRG.84443
STRG.109932.1.p2	44-XM_048959965.1	STRG.109932
STRG.77893.1.p1	9-MCQ4187465.1	STRG.77893
STRG.18277.3.p1	60-MCQ4078419.1	STRG.18277
STRG.102952.1.p3	2-NXD04076.1	STRG.102952
STRG.84367.1.p2	191-EPP37534.1	STRG.84367
STRG.38898.1.p1	61-MCQ4078419.1	STRG.38898
STRG.95111.1.p1	38-XM_052705648.1	STRG.95111
STRG.6475.4.p2	3-XM_040661657.1	STRG.6475
STRG.8868.1.p1	XM_021407791.1	STRG.8868
STRG.36299.17.p1	KAK4815560.1	STRG.36299
STRG.2112.1.p1	74-AAA49027.1	STRG.2112
STRG.72519.1.p1	18-MCQ4187459.1	STRG.72519
STRG.85757.1.p1	75-AAA49027.1	STRG.85757
STRG.4323.28.p1	4-NXF28431.1	STRG.4323
STRG.67267.1.p1	2-XM_054053185.1	STRG.67267
STRG.80874.1.p1	10-XM_048932098.1	STRG.80874
STRG.20218.1.p1	XM_040702900.2	STRG.20218
STRG.90076.1.p1	XM_040648795.2	STRG.90076
STRG.85130.1.p1	192-EPP37534.1	STRG.85130
STRG.33180.39.p2	76-AAA49027.1	STRG.33180
STRG.103477.1.p4	EGV99714.1	STRG.103477
STRG.92403.1.p2	2-XM_031609508.1	STRG.92403
STRG.40661.1.p1	46-MCQ4179290.1	STRG.40661
STRG.84992.1.p2	193-EPP37534.1	STRG.84992
STRG.97739.1.p1	XM_027707514.1	STRG.97739
STRG.85140.1.p2	194-EPP37534.1	STRG.85140
STRG.59802.7.p5	93-XM_048947294.1	STRG.59802
STRG.79970.1.p1	43-SFW04806.1	STRG.79970
STRG.111427.1.p1	51-XM_040695137.1	STRG.111427
STRG.59801.12.p1	44-SFW04806.1	STRG.59801
STRG.49640.34.p1	6-XM_040705996.2	STRG.49640
STRG.40709.1.p1	62-MCQ4078419.1	STRG.40709
STRG.111283.1.p4	45-XM_048959965.1	STRG.111283
STRG.63225.1.p1	6-EPP37096.1	STRG.63225
STRG.110806.1.p2	52-XM_040695137.1	STRG.110806
STRG.6134.1.p1	94-XM_048947294.1	STRG.6134
STRG.94088.1.p1	3-NXD04076.1	STRG.94088
STRG.96185.1.p1	XM_020586916.1	STRG.96185
STRG.22305.1.p1	KAK4819032.1	STRG.22305
STRG.84896.1.p1	195-EPP37534.1	STRG.84896
STRG.46770.1.p1	XM_054515075.1	STRG.46770
STRG.34726.3.p1	XM_062020189.1	STRG.34726
STRG.108436.1.p5	53-XM_040695137.1	STRG.108436
STRG.10303.1.p1	77-AAA49027.1	STRG.10303
STRG.107499.1.p2	46-XM_048959965.1	STRG.107499
STRG.79960.1.p1	2-XM_040653590.2	STRG.79960
STRG.71031.1.p2	XM_048950800.1	STRG.71031
STRG.107585.1.p1	35-SGA02415.1	STRG.107585
STRG.13364.3.p1	63-MCQ4078419.1	STRG.13364
STRG.98627.6.p3	XM_058859753.1	STRG.98627
STRG.84193.1.p1	196-EPP37534.1	STRG.84193
STRG.20747.1.p1	2-XM_046912424.1	STRG.20747
STRG.47942.4.p1	6-XM_048932170.1	STRG.47942
STRG.16883.2.p1	XM_019614333.1	STRG.16883
STRG.111503.1.p1	54-XM_040695137.1	STRG.111503
STRG.111273.1.p1	32-SGA34061.1	STRG.111273
STRG.18549.30.p1	24-XM_040659592.1	STRG.18549
STRG.61050.1.p1	2-XM_040682652.2	STRG.61050
STRG.91995.1.p1	2-NM_204574.1	STRG.91995
STRG.101436.1.p1	95-XM_048947294.1	STRG.101436
STRG.47381.1.p1	2-POI29217.1	STRG.47381
STRG.77206.2.p1	KAG7477400.1	STRG.77206
STRG.110652.1.p2	XM_040655859.2	STRG.110652
STRG.84962.1.p1	197-EPP37534.1	STRG.84962
STRG.104579.15.p1	64-MCQ4078419.1	STRG.104579
STRG.99047.1.p6	KFQ92104.1	STRG.99047
STRG.80065.1.p1	AAA49024.1	STRG.80065
STRG.5503.1.p1	XM_052699865.1	STRG.5503
STRG.64570.11.p1	7-SFW04955.1	STRG.64570
STRG.21358.1.p1	96-XM_048947294.1	STRG.21358
STRG.48884.18.p1	7-QKK36238.1	STRG.48884
STRG.84972.1.p2	198-EPP37534.1	STRG.84972
STRG.12873.1.p1	39-XM_052705648.1	STRG.12873
STRG.84327.1.p2	199-EPP37534.1	STRG.84327
STRG.107651.1.p2	55-XM_040695137.1	STRG.107651
STRG.92121.2.p3	XM_046937658.1	STRG.92121
STRG.55255.1.p1	2-XM_054051968.1	STRG.55255
STRG.28424.1.p1	15-XM_040695796.2	STRG.28424
STRG.86194.1.p1	4-XM_048931039.1	STRG.86194
STRG.81609.1.p1	65-MCQ4078419.1	STRG.81609
STRG.63866.15.p1	34-SFW04942.1	STRG.63866
STRG.111407.1.p1	36-SGA02415.1	STRG.111407
STRG.84183.1.p1	200-EPP37534.1	STRG.84183
STRG.52537.1.p2	XM_061369959.1	STRG.52537
STRG.84864.2.p2	201-EPP37534.1	STRG.84864
STRG.83476.1.p1	66-MCQ4078419.1	STRG.83476
STRG.90036.1.p1	3-XM_040648673.1	STRG.90036
STRG.61040.1.p2	XM_040682834.2	STRG.61040
STRG.108176.1.p1	14-SGA34039.1	STRG.108176
STRG.3837.2.p1	67-MCQ4078419.1	STRG.3837
STRG.40391.1.p1	35-SFW04942.1	STRG.40391
STRG.54296.2.p1	4-KAK4811322.1	STRG.54296
STRG.15725.1.p3	TRZ16444.1	STRG.15725
STRG.51203.1.p4	58-XM_052665711.1	STRG.51203
STRG.84952.1.p1	202-EPP37534.1	STRG.84952
STRG.94230.1.p1	XM_040693603.1	STRG.94230
STRG.32719.1.p1	10-MCQ4187465.1	STRG.32719
STRG.108262.1.p3	56-XM_040695137.1	STRG.108262
STRG.20120.1.p1	KFV07171.1	STRG.20120
STRG.73735.1.p1	POI31381.1	STRG.73735
STRG.6567.1.p1	68-MCQ4078419.1	STRG.6567
STRG.45498.72.p1	XM_046941174.1	STRG.45498
STRG.12863.1.p1	3-KAK4817094.1	STRG.12863
STRG.86897.1.p1	25-XM_040659592.1	STRG.86897
STRG.97709.1.p1	XM_031609766.1	STRG.97709
STRG.72798.1.p1	9-EPP29463.1	STRG.72798
STRG.28414.1.p1	16-XM_040695796.2	STRG.28414
STRG.95468.1.p1	2-XM_040693546.1	STRG.95468
STRG.86184.1.p1	5-KAK4811264.1	STRG.86184
STRG.108869.1.p1	57-XM_040695137.1	STRG.108869
STRG.14798.1.p9	3-XM_010719477.3	STRG.14798
STRG.70304.1.p2	KAK4821406.1	STRG.70304
STRG.51105.2.p4	XM_052673337.1	STRG.51105
STRG.23531.1.p1	97-XM_048947294.1	STRG.23531
STRG.83883.4.p1	XM_040655263.1	STRG.83883
STRG.51779.7.p1	5-XM_042829387.1	STRG.51779
STRG.83466.1.p1	69-MCQ4078419.1	STRG.83466
STRG.1806.2.p1	XM_052675023.1	STRG.1806
STRG.90102.1.p1	2-XM_040685380.2	STRG.90102
STRG.45112.4.p4	19-AAR28760.1	STRG.45112
STRG.101369.103.p1	2-XM_040693028.2	STRG.101369
STRG.99017.1.p3	2-KAK4827421.1	STRG.99017
STRG.65851.1.p2	6-XM_040646702.1	STRG.65851
STRG.42392.1.p1	40-XM_052705648.1	STRG.42392
STRG.78530.1.p1	10-XM_048930342.1	STRG.78530
STRG.85004.1.p1	203-EPP37534.1	STRG.85004
STRG.19747.1.p1	47-MCQ4179290.1	STRG.19747
STRG.111936.1.p4	62-SGA33918.1	STRG.111936
STRG.96689.11.p2	4-POI19488.1	STRG.96689
STRG.93513.1.p1	XM_040654645.1	STRG.93513
STRG.14778.1.p6	20-AAR28760.1	STRG.14778
STRG.81994.1.p1	2-XM_021404247.1	STRG.81994
STRG.109642.1.p3	47-XM_048959965.1	STRG.109642
STRG.68473.1.p1	2-XM_015881371.2	STRG.68473
STRG.109566.1.p3	63-SGA33918.1	STRG.109566
STRG.86174.1.p1	5-XM_048931039.1	STRG.86174
STRG.79055.1.p1	36-SFW04942.1	STRG.79055
STRG.111233.1.p2	48-XM_048959965.1	STRG.111233
STRG.97631.1.p1	EPP28862.1	STRG.97631
STRG.75398.2.p1	45-SFW04806.1	STRG.75398
STRG.63658.1.p4	XM_027576999.1	STRG.63658
STRG.5478.4.p1	19-MCQ4179288.1	STRG.5478
STRG.96694.1.p1	SFW04831.1	STRG.96694
STRG.90575.1.p1	2-XM_040695364.2	STRG.90575
STRG.83456.1.p1	70-MCQ4078419.1	STRG.83456
STRG.79065.1.p1	48-MCQ4179290.1	STRG.79065
STRG.90016.1.p1	9-KAK4810514.1	STRG.90016
STRG.110536.1.p1	21-AAR28760.1	STRG.110536
STRG.47063.10.p1	2-XM_046939543.1	STRG.47063
STRG.79560.3.p1	46-SFW04806.1	STRG.79560
STRG.83875.3.p2	2-KAK4808555.1	STRG.83875
STRG.44294.36.p1	26-XM_046923367.1	STRG.44294
STRG.89585.1.p1	37-SGA02415.1	STRG.89585
STRG.40865.38.p1	98-XM_048947294.1	STRG.40865
STRG.82961.43.p1	20-MCQ4179288.1	STRG.82961
STRG.86943.1.p1	KAK4819472.1	STRG.86943
STRG.21963.1.p1	22-AAR28760.1	STRG.21963
STRG.20992.3.p1	2-KAK4817902.1	STRG.20992
STRG.87009.35.p1	71-MCQ4078419.1	STRG.87009
STRG.84932.1.p2	204-EPP37534.1	STRG.84932
STRG.26057.1.p1	72-MCQ4078419.1	STRG.26057
STRG.107611.1.p1	XM_046905848.1	STRG.107611
STRG.105600.1.p1	XP_025978205.1	STRG.105600
STRG.25995.1.p1	49-MCQ4179290.1	STRG.25995
STRG.84856.1.p2	205-EPP37534.1	STRG.84856
STRG.80035.1.p1	9-SGA02300.1	STRG.80035
STRG.68453.1.p5	6-XM_019622144.2	STRG.68453
STRG.79834.1.p1	10-SGA02300.1	STRG.79834
STRG.84143.1.p3	206-EPP37534.1	STRG.84143
STRG.12044.1.p2	KAK4824214.1	STRG.12044
STRG.86078.1.p1	37-SFW04942.1	STRG.86078
STRG.10555.9.p1	QKK36229.1	STRG.10555
STRG.6547.1.p3	XM_010722455.3	STRG.6547
STRG.84067.1.p2	207-EPP37534.1	STRG.84067
STRG.61713.1.p1	XM_061804401.1	STRG.61713
STRG.111223.1.p1	38-SGA02415.1	STRG.111223
STRG.110999.1.p1	64-SGA33918.1	STRG.110999
STRG.86164.1.p1	9-SGA23301.1	STRG.86164
STRG.3599.1.p1	11-XM_048932098.1	STRG.3599
STRG.72130.31.p1	2-KAK4820500.1	STRG.72130
STRG.78983.1.p1	XM_042894759.1	STRG.78983
STRG.85457.1.p1	208-EPP37534.1	STRG.85457
STRG.88261.1.p1	5-AAC60280.1	STRG.88261
STRG.83446.1.p1	73-MCQ4078419.1	STRG.83446
STRG.77002.2.p2	XM_042813086.1	STRG.77002
STRG.22574.1.p1	XM_040664936.2	STRG.22574
STRG.92017.1.p1	D38755.1	STRG.92017
STRG.15609.1.p1	5-KAK4818318.1	STRG.15609
STRG.110296.1.p1	33-SGA34061.1	STRG.110296
STRG.78280.1.p1	21-MCQ4179288.1	STRG.78280
STRG.73465.1.p1	XM_031611386.1	STRG.73465
STRG.28674.11.p1	59-XM_052665711.1	STRG.28674
STRG.73389.1.p1	78-AAA49027.1	STRG.73389
STRG.72758.1.p1	10-EPP29463.1	STRG.72758
STRG.7320.1.p2	11-MCQ4187465.1	STRG.7320
STRG.83985.1.p1	2-SFW04532.1	STRG.83985
STRG.107371.1.p4	49-XM_048959965.1	STRG.107371
STRG.72920.1.p1	8-SFW04955.1	STRG.72920
STRG.6383.1.p1	38-SFW04942.1	STRG.6383
STRG.80706.2.p1	XM_040695158.2	STRG.80706
STRG.13144.15.p1	99-XM_048947294.1	STRG.13144
STRG.93417.1.p1	2-XM_040667558.2	STRG.93417
STRG.106818.1.p1	2-XM_021391459.1	STRG.106818
STRG.86068.1.p1	XM_015854763.1	STRG.86068
STRG.97525.1.p1	XM_040543321.1	STRG.97525
STRG.11972.1.p1	23-AAR28760.1	STRG.11972
STRG.59742.15.p2	7-XM_040705996.2	STRG.59742
STRG.88251.1.p1	19-MCQ4187459.1	STRG.88251
STRG.89709.1.p1	7-SGA23176.1	STRG.89709
STRG.94018.1.p2	XM_040694739.1	STRG.94018
STRG.53733.1.p1	SFW03931.1	STRG.53733
STRG.82729.1.p1	KAK4825502.1	STRG.82729
STRG.106566.2.p1	EPP35796.1	STRG.106566
STRG.15369.1.p1	KAK4820995.1	STRG.15369
STRG.66895.1.p1	6-XM_040650129.2	STRG.66895
STRG.87630.1.p1	XM_040655881.1	STRG.87630
STRG.84826.1.p2	209-EPP37534.1	STRG.84826
STRG.78270.1.p1	16-KFV05530.1	STRG.78270
STRG.14824.1.p1	XM_056491890.1	STRG.14824
STRG.7860.11.p1	26-XM_040659592.1	STRG.7860
STRG.46394.1.p1	39-SFW04942.1	STRG.46394
STRG.107275.1.p7	65-SGA33918.1	STRG.107275
STRG.107361.1.p1	34-SGA34061.1	STRG.107361
STRG.107515.1.p1	39-SGA02415.1	STRG.107515
STRG.72910.1.p2	8-SFW05319.1	STRG.72910
STRG.34392.1.p1	XM_057307812.1	STRG.34392
